Date,Revenue,Costs,Profit_Margins
2024-01-01,1189.22,563.37,0.53
2024-01-02,549.37,253.75,0.54
2024-01-03,957.33,206.31,0.78
2024-01-04,912.37,293.93,0.68
2024-01-05,1400.8,727.83,0.48
2024-01-06,1332.4,208.58,0.84
2024-01-07,573.31,343.77,0.4
2024-01-08,1441.08,759.15,0.47
2024-01-09,1236.68,974.84,0.21
2024-01-10,1037.36,894.72,0.14
2024-01-11,1347.7,210.06,0.84
2024-01-12,627.77,708.12,-0.13
2024-01-13,1356.65,797.76,0.41
2024-01-14,946.39,535.39,0.43
2024-01-15,691.32,366.35,0.47
2024-01-16,1074.99,648.68,0.4
2024-01-17,817.7,891.51,-0.09
2024-01-18,952.1,650.31,0.32
2024-01-19,889.9,518.78,0.42
2024-01-20,1210.38,363.62,0.7
2024-01-21,1142.05,207.17,0.82
2024-01-22,1132.91,680.84,0.4
2024-01-23,900.34,827.03,0.08
2024-01-24,642.36,744.64,-0.16
2024-01-25,1293.83,739.06,0.43
2024-01-26,1197.81,309.87,0.74
2024-01-27,783.32,696.73,0.11
2024-01-28,650.24,207.96,0.68
2024-01-29,1033.09,694.3,0.33
2024-01-30,726.48,621.16,0.14
2024-01-31,892.47,755.49,0.15
